node,typecode,x,y,id,name,adname,roadname,roadname_origin,桥隧类型
232,190307,121.471093,31.301246,BZAGR001WW,凉城路桥,虹口区,凉城路,凉城路,梁桥
233,190307,121.491699,31.224893,B0FFGQ6GPI,陈士安桥,黄浦区,方浜中路,方浜中路,梁桥
234,190307,121.483066,31.258876,B0FFGQ9MK6,横浜桥,虹口区,四川北路,四川北路,梁桥
236,190307,121.487771,31.244224,B0IATO6B5M,乍浦路桥,虹口区,乍浦路,乍浦路,梁桥
238,190307,121.502287,31.189141,B0FFG6DOEO,白莲泾路桥,浦东新区,白莲泾路桥,白莲泾路,梁桥
239,190307,121.459888,31.354368,B0FFF9R4PZ,江杨北路桥,宝山区,江杨北路桥,江杨北路,梁桥
240,190307,121.485033,31.257211,B0FFGQB1R9,邢家桥,虹口区,邢家桥北路,邢家桥北路,梁桥
242,190307,121.487354,31.255023,B0FFH02EGE,嘉兴路桥,虹口区,嘉兴路桥,四平路,梁桥
243,190307,121.476376,31.300063,BZAGR001WX,水电路市河桥,虹口区,水电路,水电路,梁桥
245,190307,121.476527,31.300696,B0FFGQ8G3G,万安路斜塘河桥,虹口区,万安路斜塘河桥,万安路,梁桥
246,190307,121.482529,31.279416,B0FFGQ95VK,中山北一路桥,虹口区,中山北一路,中山北一路,梁桥
248,190307,121.478946,31.294535,BZAGR001UW,车站南路桥,虹口区,车站南路桥,车站南路,梁桥
249,190307,121.478315,31.297159,BZAGR001UV,车站北路沙泾港桥,虹口区,车站北路沙泾港桥,车站北路,梁桥
250,190307,121.476684,31.30446,BZAGR001WZ,丰镇路桥,虹口区,丰镇路桥,丰镇路,梁桥
251,190307,121.490169,31.255794,B0FFGQ9K65,哈尔滨路二号桥,虹口区,哈尔滨路,哈尔滨路,梁桥
252,190307,121.4914,31.251379,BZAGR002EO,余杭路桥,虹口区,余杭路桥,余杭路,梁桥
253,190307,121.492317,31.250099,B0FFGQACIF,汉阳路桥,虹口区,汉阳路桥,汉阳路,梁桥
255,190307,121.492002,31.253346,B00155P28V,海宁路桥,虹口区,周家嘴路,周家嘴路,梁桥
256,190307,121.480209,31.299699,BZAGR001UU,奎照路沙泾港桥,虹口区,奎照路沙泾港桥,奎照路,梁桥
257,190307,121.49172,31.255323,B0FFGQ53LT,拓皋路桥,虹口区,拓皋路桥,柘皋路,梁桥
262,190307,121.493414,31.259085,B0FFH02D1B,通州路桥,虹口区,通州路桥,通州路,梁桥
263,190307,121.490862,31.271039,BZAGR001ZC,祥德路桥,虹口区,祥德路,祥德路,梁桥
265,190307,121.493396,31.267752,B0FFH02DJB,四平路一号桥,虹口区,四平路,四平路,梁桥
269,190307,121.489646,31.304417,B0FFGQ5FRV,仁德路桥,杨浦区,仁德路,仁德路,梁桥
